subgroup,n,n_failure,roc_auc_failure,pr_auc_failure,balanced_accuracy,precision_failure,recall_failure,f1_failure,brier_pass_probability
overall,340,201,0.639876158774473,0.7274335631723572,0.5912165789756255,0.6650246305418719,0.6716417910447762,0.6683168316831684,0.27334647146090346
structure_five_axis,99,46,0.5945447087776865,0.5931595103229221,0.5844954881050041,0.5531914893617021,0.5652173913043478,0.5591397849462365,0.3005944476738762
structure_six_axis,79,52,0.7051282051282052,0.8273589495371863,0.6260683760683761,0.7368421052631579,0.8076923076923077,0.7706422018348624,0.2311884837253497
structure_unknown,162,103,0.6269540891887445,0.7706311940358703,0.5540562777686359,0.6767676767676768,0.6504854368932039,0.6633663366336634,0.277253455325252
