method,n,failures,budget,captured_failures,failure_capture_rate,precision_at_k,random_expected_captured,roc_auc_failure,pr_auc_failure,tie_break
learning_model,66,39,10,8,0.20512820512820512,0.8,5.909090909090909,0.6149097815764483,0.6993672651546683,sample_id ascending
learning_model,66,39,20,17,0.4358974358974359,0.85,11.818181818181818,0.6149097815764483,0.6993672651546683,sample_id ascending
learning_model,66,39,34,24,0.6153846153846154,0.7058823529411765,20.09090909090909,0.6149097815764483,0.6993672651546683,sample_id ascending
frozen_geometry_rule,66,39,10,8,0.20512820512820512,0.8,5.909090909090909,0.6533713200379867,0.7116435487930846,sample_id ascending
frozen_geometry_rule,66,39,20,15,0.38461538461538464,0.75,11.818181818181818,0.6533713200379867,0.7116435487930846,sample_id ascending
frozen_geometry_rule,66,39,34,27,0.6923076923076923,0.7941176470588235,20.09090909090909,0.6533713200379867,0.7116435487930846,sample_id ascending
naive_uncalibrated_50_50_hybrid,66,39,10,8,0.20512820512820512,0.8,5.909090909090909,0.6495726495726496,0.7196907286063754,sample_id ascending
naive_uncalibrated_50_50_hybrid,66,39,20,17,0.4358974358974359,0.85,11.818181818181818,0.6495726495726496,0.7196907286063754,sample_id ascending
naive_uncalibrated_50_50_hybrid,66,39,34,27,0.6923076923076923,0.7941176470588235,20.09090909090909,0.6495726495726496,0.7196907286063754,sample_id ascending
minimum_clearance,66,39,10,8,0.20512820512820512,0.8,5.909090909090909,0.560303893637227,0.6471210047762556,sample_id ascending
minimum_clearance,66,39,20,10,0.2564102564102564,0.5,11.818181818181818,0.560303893637227,0.6471210047762556,sample_id ascending
minimum_clearance,66,39,34,22,0.5641025641025641,0.6470588235294118,20.09090909090909,0.560303893637227,0.6471210047762556,sample_id ascending
