model,cv_pr_auc_failure_mean,cv_pr_auc_failure_std,cv_roc_auc_failure_mean,cv_folds
hist_gradient_boosting,0.6605329683940977,0.22347693857771572,0.5934352645575969,5
extra_trees,0.6348649507372001,0.22715069404730873,0.5509190041963603,5
logistic_regression,0.6157392499724029,0.19792800918033718,0.4632818502635576,5
