"route_input_hash","route_file_sha256","map","hard_certificate_passed","policy_id","build_family","vehicle_profile_id","vehicle_profile_fingerprint","axle_count","hard_failure_reasons","failure_reasons_union","point_count","route_length_m"
"dd15aff30fb8b3ef68b7fee8bc834a1706e529bfad973836cc496e5b23d6aad7","ad407f967244550119c7215e89c6cf63e7cbae488f8018a8021853d7c263bdea","bridge_4","0","[0.05, null, 0.18, 1.02]","5axles","five_axis","4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7","5.0","closed_loop_pcd_clearance|maximum_slip_ratio|maximum_tire_utilization","closed_loop_pcd_clearance|maximum_slip_ratio|maximum_tire_utilization","1040","214.8210067384432"
"037376b14c1f6b0b6a178e209afa90871ba3286360c137a197ce964c4c93ca56","0b1dc2522d0abf8172d4b37008750370328bd22d7c06bef58c9fd01ef3c1ddbe","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1078","215.24718946308448"
"1af9a2f609ebb4dfbf8a64843510d2bc1c3f6e4db83ee25273fe8bd17eb7cbdf","56381b8060b658c5d89bcd40c5b8d33c625db629f9de6a6204f81d6566e69617","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1078","215.24718946308448"
"3b16ece30e26989ed5b6562f098d6843299dd81de9f8cf90813daaf93504b4f4","e8fa358c963cf03232f901a9ee9420170a77cfc3afcedec49010472d129bc1a9","bridge_4","0","[0.05, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","closed_loop_pcd_clearance|maximum_slip_ratio","closed_loop_pcd_clearance|maximum_slip_ratio","1078","215.24718946308448"
"426f3e2141b3c2b54ed1f78fd3d5423458eb8237952d6c0aadef69cddf9293c0","2dad3655798a4362f04bdf78d37693687014c5379127c7f4de8cbd69ad77c91d","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1078","215.24718946308448"
"489c29499d9787c1247da28f690e4434aa60be07c18949eaf8c85312d6b16064","08a5cefdbe0cd5db3438f98e0b70eed36057749e0b4387e726779c446dca1dfd","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1078","215.24718946308448"
"49eb640a765db9c6683709078e5d5997786cff621ac0bc1285fef4cbf795e244","d99e39746a974a0faed392717506eed390aabcda7b2e00a22c58b9adb8175295","bridge_4","0","[0.05, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","closed_loop_pcd_clearance|maximum_slip_ratio|maximum_tire_utilization","closed_loop_pcd_clearance|maximum_slip_ratio|maximum_tire_utilization","1078","215.24718946308448"
"7167d30477f49269481e0d667bdaae101045d210581c93fbfa73063f18c2d023","dfe2cf8ff7e197ef0ecd0093e6cb146a99ef3ceaddc5af56ab0f8468d4390c08","bridge_4","0","[0.05, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","closed_loop_heightmap_footprint|closed_loop_pcd_clearance","closed_loop_heightmap_footprint|closed_loop_pcd_clearance","1078","215.24718946308448"
"8208ec3a7f59c609d8037503264d2b9c8c688004baa3e4dfa8fcaebf4a15fd63","fa249b831899f60110cb3136b4b57fad69fa5567bfbb61c50985e041286a732a","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1063","212.38138547425845"
"8d4a093c616ba96fe63dc707ad598a043b1fa23994e8e92add0ca34ed8599a72","63dde22edcd593a869d4d686adc4fe9720134ca62d07c144520d1c68ccc1a8bd","bridge_4","0","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","maximum_slip_ratio","maximum_slip_ratio","1078","215.24718946308448"
