sample_key,classification,map,report_path_local,route_path_local,build_family,report_file_sha256,route_file_sha256,route_input_hash,hard_certificate_passed,hard_failure_reasons,completed,policy_id_or_thresholds,dynamic_pcd_clearance_m,maximum_slip_ratio,maximum_tire_utilization,maximum_abs_lateral_error_m,maximum_abs_heading_error_deg,vehicle_profile_id,vehicle_profile_fingerprint,axle_count,wheel_count,steer_ff_rad_second_dimension,vehicle_structure,identity_evidence,route_length_m,point_count,modified_time,source_machine,file_size_bytes,transfer_recommended,parse_status,error
82bea6cdf0deaa0c,,bridge_4,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\bridge_4.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,82bea6cdf0deaa0cd3f30d3097a8403d472522d9cb0a54304391cab1b6292b6e,af14cc5e88e87300f151dc695a7fd945c4533655fc7ee100a625731eec093f14,,,,,,,,,,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,,,five_axis_explicit,explicit_profile_id,214.821007,1040,2026-08-26T21:50:26+08:00,LEGION,184843,true,ok,
e5f81602ec534784,,cliff_3,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cliff_3.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,e5f81602ec534784ead4d871b92ab70861234ee5220f9af1ef9c49c74b1ccc7e,df261a67248e21426b77629f55551d9fb9d46784c774c5ab64f5ed1962a64f2d,,,,,,,,,,five_axis,ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5,,,10,five_axis_explicit,explicit_profile_id,230.243764,1152,2026-08-24T15:27:00+08:00,LEGION,214544,true,ok,
645e80adcac7aa0b,,cliff_6,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cliff_6.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,645e80adcac7aa0bac5f0b4bbc326471b06bd2e8691231d83a419e177d676970,81743eeeb880a828f46830b0288e05c1bcf8662bd072a94af0afebaa3f914cce,,,,,,,,,,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,,,,five_axis_explicit,explicit_profile_id,273.693735,1373,2026-08-21T21:18:44+08:00,LEGION,188882,true,ok,
6f2a58b7ed17a685,,cross_3,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cross_3.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,6f2a58b7ed17a6855589f0762abcad06335f5c2817dd0b54670275980eeb03c6,aa09934d1a31e7ec5049965f5db0c4e098e6e72aad9cf957c498614b1cd768ef,,,,,,,,,,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,,,,five_axis_explicit,explicit_profile_id,383.962868,1946,2026-08-21T22:35:30+08:00,LEGION,179123,true,ok,
390aea71b9cc217d,,cross_4,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\cross_4.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,390aea71b9cc217dce928f47a93d75ce8d5741cf4af3ce6763159b955a27837f,e7c3044ac9a93e7a57ea13479247125b2ed55e357a41ab56a2dae70fb488c8af,,,,,,,,,,five_axis,c55daff1b698d1f4e5430ac09daa62a4231411205564f579dcecdbf8da0aaefb,,,10,five_axis_explicit,explicit_profile_id,292.167848,1460,2026-08-23T22:11:10+08:00,LEGION,299909,true,ok,
ec6a3c490e92fc1f,,mounarea_3,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\mounarea_3.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,ec6a3c490e92fc1f7a74a8f19cfef03bbdc8afcedfae17c45ff736a19b323b4f,de7591b35a54b27de4aa94cb8779defcbfb1e643bf0fa3a8010edccbd324f3dc,,,,,,,,,,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,,,,five_axis_explicit,explicit_profile_id,1588.30198,7955,2026-08-22T18:34:42+08:00,LEGION,1130236,true,ok,
0dd0ad564cc7ec07,,mounarea_6,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\mounarea_6.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,0dd0ad564cc7ec07abfe748a1a04a4e9db1023e19561382d933a17ac10eebc99,8214a6c72b31cc9ebf09d360734fb0fa501b30fdfaae04bac87913a8f53e7f8a,,,,,,,,,,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,,10,five_axis_explicit,explicit_profile_id,1083.5309,5424,2026-08-24T08:55:02+08:00,LEGION,786745,true,ok,
01ceb4d030f51a16,,narrow_4,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\narrow_4.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,01ceb4d030f51a16958b5ef781e78538e8d5f7d20d5443d4c36e4728a46c573a,0d14ad5750790d68c85b3b50e56eb978633a2936f2af7239dc41720a180a48db,,,,,,,,,,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,,,five_axis_explicit,explicit_profile_id,228.004767,1148,2026-08-24T03:16:54+08:00,LEGION,136925,true,ok,
59aedc56a46a43f6,new_route_without_label,ramp_3,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\ramp_3.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,59aedc56a46a43f6ae4410219fa1b5f5c48134a8bd9e5c3a3c91097d06fae1bb,036202fec167543c63b3e3d5b7e37e95d78e4339c174fb1d7b7f0f24f3dfa236,,,,,,,,,,five_axis,6e898ff7ac46a2787fb81ecea16e0e5ca585cf290cccb00a7656cb178eb56053,,,,five_axis_explicit,explicit_profile_id,1186.00726,5941,2026-08-21T22:48:30+08:00,LEGION,797921,true,ok,
41def24cc9783941,new_route_without_label,ramp_6,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\routes\five_axis_ay_v1_release\ramp_6.npz,five_axis/race_guidance_control/routes/five_axis_ay_v1_release,,41def24cc9783941d20e8014ddce2a94adbd6b198ddc435101fa6e09fd089a54,71f72a3ab6fd94b4e26d9783983d23c536820a9d8a9e1066274b0110cfbbdcaa,,,,,,,,,,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,10,10,five_axis_explicit,explicit_profile_id,1344.7377,6734,2026-08-24T12:26:22+08:00,LEGION,1004564,true,ok,
