sample_id,route_file_sha256,map_id,route_id,label_status,true_label,vehicle_structure,vehicle_structure_evidence,vehicle_axis_count,source_machine,match_status,vehicle_configuration_fingerprint_summary,feature_version,feature_source,feature_missing_reason,route_length_m,point_count,sampling_spacing_mean_m,sampling_spacing_median_m,sampling_spacing_p95_m,curvature_mean_1pm,curvature_abs_mean_1pm,curvature_abs_max_1pm,curvature_abs_p50_1pm,curvature_abs_p90_1pm,curvature_abs_p95_1pm,curvature_abs_p99_1pm,curvature_change_abs_mean_1pm2,curvature_change_abs_max_1pm2,curvature_change_abs_p95_1pm2,slope_mean,slope_abs_mean,slope_abs_max,slope_abs_p95,slope_change_abs_mean_1pm,slope_change_abs_max_1pm,slope_change_abs_p95_1pm,speed_mean_mps,speed_max_mps,speed_p50_mps,speed_p90_mps,speed_p95_mps,speed_abs_curvature_product_mean_mpspm,speed_abs_curvature_product_p95_mpspm,lateral_accel_proxy_mean_mps2,lateral_accel_proxy_max_mps2,lateral_accel_proxy_p95_mps2,speed_abs_curvature_correlation,steer_abs_mean_rad,steer_abs_max_rad,steer_abs_p50_rad,steer_abs_p90_rad,steer_abs_p95_rad,steer_change_abs_mean_radpm,steer_change_abs_max_radpm,steer_change_abs_p95_radpm,yaw_rate_abs_mean_radps,yaw_rate_abs_max_radps,yaw_rate_abs_p95_radps,yaw_rate_change_abs_mean_radps_per_m,yaw_rate_change_abs_max_radps_per_m,yaw_rate_change_abs_p95_radps_per_m,static_left_clearance_min_m,static_right_clearance_min_m,static_boundary_clearance_min_m,window10m_max_mean_abs_curvature_1pm,window10m_max_mean_abs_steer_change_radpm,window10m_min_mean_left_clearance_m,window10m_min_mean_right_clearance_m,steering_source_dim
PG-SHANYU000-01ceb4d030f51a16,01ceb4d030f51a16958b5ef781e78538e8d5f7d20d5443d4c36e4728a46c573a,narrow_4,narrow_4,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,4ec13c407273a370,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,228.0047672835792,1148,0.19878358089239687,0.2006240232975074,0.20614298740826484,-0.0006805182021690406,0.01760831378417765,0.06757566054210429,0.009884522812416585,0.04528205804209908,0.05262650151146072,0.065005543095782,0.0016239326582655057,0.013172253788276092,0.004814112383247572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0951425504324375,14.419354575270448,4.5,11.26157117732946,12.967180195633532,0.08021728748667846,0.23681925680157326,0.3731608178175819,1.3684071259776118,1.0656866556070796,-0.508536143974256,0.07670746105596515,0.33647966931127127,0.04105988023371333,0.20350843498218307,0.23954557413668232,0.010134500152350234,0.04627086695899807,0.03255784531241027,0.09198543993403566,0.34188349630610215,0.2854839566386079,0.011690571121543406,0.1877627769333441,0.03495392895695268,1.4999025349203885,1.8206169870677558,1.4999025349203885,0.06005944058686389,0.039968791288897826,1.605208630727498,1.895979776321044,1
PG-SHANYU000-07775005aa964d84,07775005aa964d84321e46864e92c1e4af48b71ab3f2a590edcf9438342aea98,cliff_3,cliff_3,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,4ec13c407273a370,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,230.01593702547726,1156,0.19914799742465564,0.20080101863914024,0.2008313722485653,0.004470999734269625,0.006471944688430419,0.028583428748617534,0.005098144611638698,0.007968548785458805,0.01952224958123688,0.02723490530877259,0.0005599447484470473,0.00964596496311276,0.005085422118299119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.301817782706774,29.094013399024224,25.56433353950858,29.093696282808263,29.093933806536732,0.13166624671094748,0.17130778945371283,3.139906343502742,5.417021122383889,4.3138731481370165,-0.6345879865996531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13166624671094748,0.3630287692080732,0.17130778945371283,0.006048189184962431,0.157297728445438,0.04451209943045399,3.9223056740996123,5.083231461392245,3.9223056740996123,0.021074738797786048,0.0,4.194557388752578,5.094285812018412,1
PG-SHANYU000-0f557750e4e0d4e8,0f557750e4e0d4e824c89a2c5283b0a6bacae63bb5493cb4616fd2074c23b7f3,cliff_6,cliff_6,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,4ec13c407273a370,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,273.6937347197567,1373,0.1994852293875778,0.20092209539571826,0.20093171977120505,-0.0001643678347887932,0.002768560547624225,0.044128766625614574,0.00198153595114043,0.007421952670051574,0.010226678455355747,0.021278925367048646,0.0003542714500636721,0.023249390928101184,0.0007593533669783973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14698479118028,42.579518406654536,36.55582554514533,40.93865350344931,41.59392775129925,0.059340689044116476,0.17661404265504446,1.733322947620474,4.935361071421358,3.61478861700928,-0.6534603333679365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10951654090768632,5.112809634502707,0.21375890827077249,0.03349693233761905,2.91977258161036,0.019885181477223995,5.72853532620383,5.436265406248851,5.436265406248851,0.04200247053042875,0.0,5.732498499117373,5.443068256408842,1
PG-SHANYU000-1266a7e4ee68b5c8,1266a7e4ee68b5c8ce3fe606adc85c974eec8c17b045bfeac43fc33a864e8074,narrow_1,narrow_1,labeled,1,six_axis,structural_inference,6,SHANYU000_local,v3_exact_match,derived-5c9367c4e69a233f,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,49.94271775080661,251,0.19977087100322644,0.1999999999999993,0.20000000000000284,-5.277925205027986e-08,0.008982457362095317,0.041167007899643025,3.435625466377714e-07,0.03591267918192219,0.03921487449236712,0.040908002719477136,0.004083741672967196,0.04707104829111749,0.014082280076143688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.680476416511548,13.363095587771523,9.542352067967146,12.143003198440624,12.765619360262246,0.05923554905463636,0.2616546867693359,0.4142945174726659,2.0123025485146124,1.8187095006137963,-0.4702744507802354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056606941827070496,0.2739328270861712,0.2616546867693359,0.02562018072327357,0.14502838273648527,0.08809843951242882,2.4,2.4,2.4,0.027697307518436104,0.0,2.3999999999999773,2.3999999999999773,12
PG-SHANYU000-250b207fe1290aa9,250b207fe1290aa927408af5427cf6e86d1cff6cfab66a1470f1524754e12f8f,cliff_1,cliff_1,labeled,1,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,135.27445151053655,678,0.1998145517142342,0.20000000000000284,0.20000000000000284,0.001753131523087325,0.0035768767486880617,0.03594656129862446,0.0022017382184729376,0.007185429342553032,0.007686123910058645,0.03223524704847875,0.000789187805865562,0.02334395380483214,0.0034100074010893614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5041787635482,26.854883655558208,18.46743993882105,25.323353946203667,26.10110206167873,0.05113626066640064,0.13571353517816298,0.8382143955010969,2.6256074367722135,2.421406149809436,-0.3533376679295183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05113626066640064,0.302335852093351,0.13571353517816298,0.009707241361169969,0.12566651858143812,0.0339139885509403,4.6185767628921175,4.478909838477818,4.478909838477818,0.013692652540139303,0.0,4.935715563448605,4.690348625440671,1
PG-SHANYU000-364301c2a9eabef2,364301c2a9eabef2be52e3a623144cdad87454f93e9c75541523b9cc885d0e90,overpass_1,overpass_1,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,2055.307834979337,10278,0.19999103191391815,0.20000000000004547,0.20000000000004547,-0.0013081741683377331,0.004894353277117277,0.34360687497489406,0.001785791050323171,0.012585118466589244,0.013570131722670364,0.04665382548474514,0.0005903940061408601,0.8284523333852593,0.0010188178475506351,0.004693189785566831,0.006836504011071659,0.15080136315037862,0.09991303891184326,0.00023555262399067801,0.21722177469607862,8.469367807073455e-07,27.794465685857755,53.07367702351438,26.736276468726395,40.78060147821465,46.868694745587874,0.090587196507456,0.2643946092906779,1.911090837803856,6.9889981976768425,5.094732607084849,-0.5037495936157167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090587196507456,1.549667006136772,0.2643946092906779,0.005546629625725872,3.7347944338751984,0.01808560269972611,3.1447184689688514,3.9951393378403046,3.1447184689688514,0.046804936273491735,0.0,3.371882216733402,3.9951393378403046,1
PG-SHANYU000-3c67efb459a865b1,3c67efb459a865b10dfef69caed11409258bb2b05f74cea10ca967212ce06dfb,mounarea_2,mounarea_2,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,469.63519716139587,2350,0.19992984127773344,0.19999999999998863,0.20000000000004547,0.0035475785790867443,0.006249776590756599,0.023205480102414626,0.005626466260554897,0.0136771102594796,0.018410526647640618,0.02275296651140026,0.0002711471820250501,0.009590802823452645,0.0004950536434543377,0.03901303004337631,0.06637708006799957,0.3593844325230293,0.09798179495448878,0.003297385926097197,2.2158950627479825,0.003964710852429303,22.793058386957632,34.23887320673227,22.636895200365807,30.043047842929354,32.11642376030539,0.1256017775354149,0.3145899138264712,2.6180668364044175,5.440775823895597,5.376044933837719,-0.5747825019987954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1256017775354149,0.3551372185717759,0.3145899138264712,0.00455504474573808,0.12085649219993178,0.009939439092330766,4.821645552771,4.713003391866791,4.713003391866791,0.02258860585422366,0.0,4.981439901207434,4.7228620471334954,1
PG-SHANYU000-3eb406eba77b6377,3eb406eba77b6377da2cd9cfe753bbf8310bdfbbe5702a07af641a2127be5182,mounarea_6,mounarea_6,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,4ec13c407273a370,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,1083.530896404707,5424,0.19980285753359892,0.19994455547009693,0.20006947659851448,-0.004180923296275599,0.006157851170942098,0.031626747211942,0.0033442736765011472,0.016660288978524763,0.018714518418411024,0.02985221595030877,0.00022488248132181648,0.0033221967073962496,0.0011511400771632018,-0.0467650918369683,0.21611552639167117,466.9988417051766,0.0,1.4187661593182181,2543.804238462322,0.0,22.52632585513544,45.248742663261446,19.660344374315468,39.1860647976613,41.965341566826176,0.09691355189091037,0.2940773112218895,1.720358225287468,5.499103523138156,4.881278486536167,-0.5925077541698551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09691355189091037,0.410067769018714,0.2940773112218895,0.0034442305383989486,0.08203372878327075,0.015752592513020896,4.726559644358524,4.434850585763018,4.434850585763018,0.03041991306010845,0.0,4.726741221196208,4.438152842103163,1
PG-SHANYU000-5618f7d508ec6ef2,5618f7d508ec6ef255e472cf093b45dd830e886b60bb384453493cb1d261ebe6,cliff_2,cliff_2,labeled,1,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,578.7529800705895,2895,0.19998375261596044,0.19999999999998863,0.20000000000004547,0.005983859462721885,0.006737537945933006,0.061562293114520474,0.006372393258803737,0.006372659557602049,0.006373252059441072,0.013691740115393307,0.00020704259368777817,0.044017215424550435,0.00020604209521374805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.36885627078718,33.4138606500756,33.413639740638146,33.41380042653718,33.413823628584424,0.1965543766437113,0.2129319591143893,6.175818748239607,7.114905947271134,7.114802974754803,-0.3459262301606104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1965543766437113,0.5228509481873582,0.2129319591143893,0.0021866184042330867,0.16893908332297133,0.005656669986612169,4.301204078622872,3.606363291929758,3.606363291929758,0.024515164249019766,0.0,4.7327035767381265,4.817756680729051,1
PG-SHANYU000-5dfc4fa9d2ac2c08,5dfc4fa9d2ac2c08a7ffd6121909433816c58d9b5aa2da520ea3db4b47de5d9a,ramp_1,ramp_1,labeled,0,five_axis,explicit,5,SHANYU000_local,v3_exact_match,a4761dbb8643e682,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,858.9756605991365,4296,0.19999433308478148,0.19999999999998863,0.20000000000004547,0.0006612370326841777,0.002156858369070516,0.06561032850271875,7.393279172651646e-06,0.009142031348485347,0.016579574654275397,0.02336985112636692,0.0005206049778214641,0.1976764049003349,0.0009494886684597286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.98463134393896,54.54508149112181,39.71045596828424,50.4197301625792,52.11422394894883,0.041724894512672625,0.2749764116963029,0.9011903699385042,19.21389137267327,4.841668896838353,-0.5867974729569878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041724894512672625,1.1227776827033245,0.2749764116963029,0.00933262808130431,3.3828076662303634,0.01611257511652206,3.1894654174739125,2.6767859830021905,2.6767859830021905,0.023324769548777234,0.0,3.1989468135349193,2.6853886223306382,1
