sample_id,route_file_sha256,map_id,vehicle_structure,vehicle_structure_evidence,vehicle_axis_count,label_status,true_label,route_id,match_status,candidate_file_available,npz_readable,source_machine,feature_version,exclusion_reason
UNMATCHED-SHANYU000-66d9a2e443b73f03,66d9a2e443b73f038cb3137b1cf5dcb0fd70643e48fcdd44031fee8bffa5bcb3,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-66f0146c64f1ccba,66f0146c64f1ccba23de6a9ba8369571409c9337851838f5e9ba978bf2264f82,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-67344d3cf6eec396,67344d3cf6eec396e4e83726a897976f1be3d0d1a3e9d819deeca8d0b8b03d41,cross_1,five_axis,explicit,5,unmatched_candidate,,cross_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-67693780eff5ceab,67693780eff5ceabb2d8f80c5f76682c149f22ad73b39f44d2f55e9e6dec99f0,cross_1,five_axis,explicit,5,unmatched_candidate,,cross_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-67b35c0c4ec581f5,67b35c0c4ec581f555cfb704968d63da338c04521d32d8434d9a0b3bc68646be,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-67b4f01bea1b8c66,67b4f01bea1b8c667d7e5e21a37c191e02318ab850160440a1c4f955d7220d22,mounarea_1,five_axis,explicit,5,unmatched_candidate,,mounarea_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-67c53a44907e1880,67c53a44907e1880889656a318957414a35b0a8b7badb15651c7120ee62c406d,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-67c5ef8c5a0ae4b0,67c5ef8c5a0ae4b0b60db980985d00d5c30a9028b476205429be995a3a6ee3b2,cliff_3,six_axis,explicit,6,unmatched_candidate,,cliff_3,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-67c956e4df4426ae,67c956e4df4426ae9fb13d929cab24bcb9550fb13fb38bcf2f60e6dfb0860ba2,mounarea_2,six_axis,structural_inference,6,unmatched_candidate,,mounarea_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-67d56291df9c44a0,67d56291df9c44a0114c0bc8331d16c0c9343f8446a5dfc47e4ad8f0427e3379,cross_2,five_axis,explicit,5,unmatched_candidate,,cross_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-67ff298052cdd153,67ff298052cdd15332e9dcc411992418078688e799b442533cfc992a2cf5abd7,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-680d9d8934148ec8,680d9d8934148ec8949b6e257517042fcb2270007f8519cffce4ea5c6bd57219,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-684899d3976944f9,684899d3976944f9e2a6ac4da8e3b7b2d1fe720ac61f8c7e637a37f1c1523fba,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-684a339be1d62c5f,684a339be1d62c5f8d94d1dcc06e1c0662603f122490d10c46919b9e5de1854e,ramp_2,five_axis,explicit,5,unmatched_candidate,,ramp_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-684a36a5d9b0ccd0,684a36a5d9b0ccd064edb7d0705379d6ff9e8c1dac13036415e8d1e17e3e7f8e,ramp_1,five_axis,explicit,5,unmatched_candidate,,ramp_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-68587aa190f91d70,68587aa190f91d70766b43981dfbba8b1e81a7d2ceacd768994976333494ee3f,ramp_1,six_axis,structural_inference,6,unmatched_candidate,,ramp_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
