sample_id,route_file_sha256,map_id,map_group,vehicle_structure,label_status,true_label,route_id,feature_version,feature_source,feature_missing_reason,vehicle_config_fingerprint_summary,route_length_m,point_count,sampling_spacing_mean_m,sampling_spacing_p50_m,sampling_spacing_p95_m,curvature_mean_1pm,curvature_abs_max_1pm,curvature_abs_p50_1pm,curvature_abs_p90_1pm,curvature_abs_p95_1pm,curvature_rate_abs_mean_1pm2,curvature_rate_abs_max_1pm2,curvature_rate_abs_p95_1pm2,grade_mean_ratio,grade_abs_max_ratio,grade_abs_p95_ratio,grade_change_abs_mean_1pm,grade_change_abs_max_1pm,grade_change_abs_p95_1pm,speed_mean_mps,speed_max_mps,speed_p50_mps,speed_p90_mps,speed_p95_mps,speed_curvature_abs_mean_radps,speed_curvature_abs_max_radps,speed_curvature_abs_p95_radps,speed_abs_curvature_corr,steering_ff_abs_mean_rad,steering_ff_abs_max_rad,steering_ff_abs_p50_rad,steering_ff_abs_p90_rad,steering_ff_abs_p95_rad,steering_ff_change_abs_mean_radpm,steering_ff_change_abs_max_radpm,steering_ff_change_abs_p95_radpm,yaw_rate_abs_mean_radps,yaw_rate_abs_max_radps,yaw_rate_abs_p95_radps,yaw_accel_abs_mean_radps2,yaw_accel_abs_max_radps2,yaw_accel_abs_p95_radps2,local20m_curvature_abs_max_1pm,local20m_steering_change_abs_max_rad,static_left_margin_min_m,static_right_margin_min_m,static_lr_margin_min_m,steering_vector_dimension
LOCAL-ZYJisBoss-32744a2b35c6ccc4,32744a2b35c6ccc40e9308e99f3f2c9ad1dbaa9f90fc2a22360fcbd8d4427392,ramp_2,ramp,six_axis_structural,unmatched_candidate,,ramp_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,1169.20849366,5848,0.199967247077,0.2,0.2,0.00137388088825,0.0802852261359,0.00253487576131,0.0129781026278,0.0172548964824,0.000311306502562,0.0167781873642,0.00155728880327,0,0,0,0,0,0,26.242616684,39.3770645211,25.9854497681,37.0064199894,38.0045083283,0.0846811042464,1.06030543645,0.301098250736,-0.455858431608,0,0,0,0,0,0,0,0,0.0828659663154,0.631164446652,0.298590624769,0,0,0,0.0802852261359,0,3.62653977046,3.55785397913,3.55785397913,12
LOCAL-ZYJisBoss-32baf3b90b8ed961,32baf3b90b8ed961d9de762c3123969b1f22dd3f41bcfd1a40572253c8fbe088,ramp_2,ramp,five_axis_explicit,unmatched_candidate,,ramp_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=beta_ref_rad;yaw_rate=derived:v_profile_mps*kappa_1pm;yaw_accel=derived:yaw_rate/dt",,3e0eeb09caeac59c,1169.91752342,5850,0.200020092909,0.199999999982,0.200637633643,0.00151789431373,0.0358477934201,0.00214423615207,0.0111832387891,0.0160400937617,0.000329775792942,0.0117788132691,0.00159149633691,0,0,0,0,0,0,21.9541229851,32.942856296,22.4167611344,28.5001606825,29.5837667211,0.0695620485371,0.437230808836,0.22846157605,-0.547528312818,0.0193817807575,0.0704607409777,0.0165738561456,0.0434486700236,0.0499868338471,0.000680486317528,0.00257663265336,0.00182090790115,0.0695620485371,0.437230808836,0.22846157605,0.103282232036,14.5775263183,0.372862033828,0.0358477934201,0.0463912045509,3.0025865396,1.99733471193,1.99733471193,1
LOCAL-ZYJisBoss-33c4a3207aea9776,33c4a3207aea977608fa50f4787598ead9f0d25e14cbff1688796b2a6650b489,turnaround_4,turnaround,five_axis_explicit,unmatched_candidate,,turnaround_4,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=beta_ref_rad;yaw_rate=derived:v_profile_mps*kappa_1pm;yaw_accel=derived:yaw_rate/dt",,derived:42b0298a1586111b,344.826048735,1761,0.195923891327,0.199942798105,0.20617652355,0.00071386579928,0.16356104134,0.0125362482151,0.0879177249452,0.112121755812,0.00696132218651,0.0542874933028,0.0312989929579,0.0001098450168,0.669980154424,0,0.0114133530753,4.40304866152,0,7.99439820786,15,7.24912192944,13.3872650853,15,0.143794631441,0.654244165359,0.443030213697,-0.521482948363,0.0194904820781,0.251563175869,0,0.0809906673231,0.112200840325,0.00671895918052,0.0695707814447,0.0388183228343,0.143794631441,0.654244165359,0.443030213697,0.176193702906,2.31965285285,0.682812720911,0.16356104134,0.249954366648,2.31045059433,2.30809312798,2.30809312798,1
LOCAL-ZYJisBoss-390aea71b9cc217d,390aea71b9cc217dce928f47a93d75ce8d5741cf4af3ce6763159b955a27837f,cross_4,cross,six_axis_structural,unmatched_candidate,,cross_4,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,c55daff1b698d1f4,292.167847994,1460,0.200252123368,0.2,0.200603734258,0.0051375540084,0.0618253084863,2.87221678093e-14,0.0177019003188,0.0588231085669,0.000593219932637,0.0127945304448,0.00410742592868,0,0,0,0,0,0,22.3119533465,38.3090494949,23.081311056,33.6018615586,36.0885524341,0.0558047820687,0.560632357385,0.545878447501,-0.537139404509,0.0363679110326,0.387006905089,1.74122397910e-13,0.109403378731,0.368493264005,0.00371511087969,0.081258886505,0.0256539328826,0.0558047820687,0.560632357385,0.545878447501,0.0720037273211,2.42241193648,0.407560790562,0.0618253084863,0.386265266315,2.86100968946,5.5,2.86100968946,10
LOCAL-ZYJisBoss-402c4af3a7ab695a,402c4af3a7ab695a602a3f994e214ecd9d8b8e3f8be4708fe9493c0e131919a3,cross_3,cross,six_axis_structural,unmatched_candidate,,cross_3,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,2e3182561ba5e89c,383.962867735,1946,0.197410214774,0.200813070894,0.212235881544,-0.00373534407504,0.0620076132262,1.22434728671e-15,0.0104901646054,0.0343889553173,0.000416766045408,0.00432921555674,0.00264855397055,0,0,0,0,0,0,23.8508407833,44.5460192815,21.3045216627,40.4080829114,43.5063742673,0.0564422543294,0.58120509553,0.394905936088,-0.428378477763,0.0348556509108,0.472172236111,9.27100252446e-15,0.080358436263,0.266120254167,0.00317786093263,0.0336678519408,0.0202259481966,0.0564422543294,0.58120509553,0.394905936088,0.0753427723669,0.505757665065,0.363962263927,0.0620076132262,0.426643310267,3.1802259202,4.45121917834,3.1802259202,12
LOCAL-ZYJisBoss-41def24cc9783941,41def24cc9783941d20e8014ddce2a94adbd6b198ddc435101fa6e09fd089a54,ramp_6,ramp,six_axis_structural,unmatched_candidate,,ramp_6,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,4ec13c407273a370,1344.73769566,6734,0.199723406455,0.2,0.200043049349,-0.000898117938307,0.0211719345999,0.00107832224112,0.00650813225845,0.00857490851949,0.000120340109444,0.0143893216704,0.000498515339777,0,0,0,0,0,0,29.7741257733,47.306079959,28.9852327136,42.4886244215,44.3241303801,0.0537078884062,0.270506561653,0.168582550381,-0.577006390483,0.0158160365345,0.131224809541,0.00653490840418,0.0397699234574,0.0525213356475,0.000730014468124,0.0899477036331,0.00307224844548,0.0537078884062,0.270506561653,0.168582550381,0.0520624774142,2.07206232053,0.248815785441,0.0211719345999,0.124574268286,2.56599172177,3.01508863393,2.56599172177,10
LOCAL-ZYJisBoss-45670c7cab1abadb,45670c7cab1abadbef5fe4bb31c4c7d46d5a8d96165caf4634c74c0597026c4e,overpass_2,overpass,five_axis_explicit,unmatched_candidate,,overpass_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=beta_ref_rad;yaw_rate=derived:v_profile_mps*kappa_1pm;yaw_accel=derived:yaw_rate/dt",,6e898ff7ac46a278,2586.62924049,12710,0.203527361751,0.2,0.2,-0.00193095568972,0.118732956747,0.000154870639386,0.00849471387872,0.0104313436456,0.00022453354944,0.48590905971,0.000691744565595,-8.13246882868e-14,0.100112712047,0.0963680000559,0.000173413786786,0.203728930272,2.16747653830e-7,22.3973994959,35.026410555,22.0941048341,30.983284987,32.7643698077,0.0455763776615,0.40356410892,0.163527937095,-0.529007330395,0.0173022626267,0.0908492129055,0.00924616161278,0.0459544848691,0.0528911573667,0.000540078227549,0.0929396079833,0.00145822211948,0.0455763776615,0.40356410892,0.163527937095,0.0326515643449,12.2519552756,0.137223329419,0.118732956747,0.088642119554,2.04999952733,2.43507545271,2.04999952733,1
LOCAL-ZYJisBoss-462f2eccac127d5d,462f2eccac127d5d6d6302fd7cc0fd8ef9e64303518e3734d5649c96b48dc220,cliff_1,cliff,five_axis_explicit,unmatched_candidate,,cliff_1,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=beta_ref_rad;yaw_rate=derived:v_profile_mps*kappa_1pm;yaw_accel=derived:yaw_rate/dt",,6e898ff7ac46a278,135.014429971,677,0.199725488123,0.2,0.2,0.000641755532174,0.0077578976769,0.00128644095238,0.00670451093782,0.00728047986604,0.000288308699243,0.000889907313144,0.000764423520413,0,0,0,0,0,0,22.815228124,30.2790252819,25.2933071167,28.7900258199,29.2451726647,0.0549168478475,0.191739124382,0.177765616436,0.0855093279291,0,0,0,0,0,0,0,0,0.0549168478475,0.191739124382,0.177765616436,0.14992174022,0.38516546265,0.293275641149,0.0077578976769,0,4.99560370323,4.99195622736,4.99195622736,1
LOCAL-ZYJisBoss-473342c86fc55ee2,473342c86fc55ee23fb1f1900ceff9c0ae1dee8c62e4d2c6a3ddea247109d56c,cross_1,cross,five_axis_explicit,unmatched_candidate,,cross_1,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=beta_ref_rad;yaw_rate=derived:v_profile_mps*kappa_1pm;yaw_accel=derived:yaw_rate/dt",,6e898ff7ac46a278,341.519920131,1709,0.199953114831,0.2,0.2,-0.0030637449531,0.0513618057278,0.0000279838545367,0.0114659708885,0.0307533985108,0.000464329573501,0.00704170886441,0.00389569834693,0,0,0,0,0,0,24.9649329195,42.7227660099,25.5484959201,37.7026665907,40.2941443475,0.0428763781368,0.509584931334,0.367727089946,-0.507530335431,0,0,0,0,0,0,0,0,0.0428763781368,0.509584931334,0.367727089946,0.0768083851048,1.20213587007,0.496958260986,0.0513618057278,0,4.17501460375,3.31334386546,3.31334386546,1
LOCAL-ZYJisBoss-5092ea59f5c30498,5092ea59f5c304984c3306c6e6c3e6990ecdf90b413b58a5740b6aef6f63a6c4,cliff_2,cliff,six_axis_structural,unmatched_candidate,,cliff_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,578.515408958,2894,0.199970760096,0.2,0.2,0.0063269035752,0.0280884797083,0.00637235775749,0.00637236123821,0.0063816180757,0.00014616910756,0.0104584905467,0.000539613322682,0,0,0,0,0,0,25.9780282953,28.3149399234,28.3148687496,28.3148770894,28.3148832832,0.167407280162,0.393481818049,0.180432562644,-0.20460913254,0,0,0,0,0,0,0,0,0.166799772558,0.342458602444,0.180432561513,0,0,0,0.0280884797083,0,4.73295693764,4.31103348106,4.31103348106,12
